,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,91,Gollini P.,Por,P,6.0,-1.0,,,,,1.0,,4.5,Atalanta,32,2016-17
1,5,Masiello A.,Dif,D,6.5,,,,,,,,6.5,Atalanta,32,2016-17
2,24,Conti A.,Dif,D,6.5,,1.0,,,,,,7.5,Atalanta,32,2016-17
3,0,Hateboer H.,Dif,D,6.0,,,,,,1.0,,5.5,Atalanta,32,2016-17
4,13,Caldara M.,Dif,D,7.0,,,,,,,,7.0,Atalanta,32,2016-17
5,3,Toloi R.,Dif,D,7.0,,,,,,,,7.0,Atalanta,32,2016-17
6,27,Kurtic J.,Cen,C,6.5,1.0,,,,,1.0,,9.0,Atalanta,32,2016-17
7,6,Cristante B.,Cen,C,6.0,,,,,,,,6.0,Atalanta,32,2016-17
8,11,Freuler R.,Cen,C,6.0,,,,,,,,6.0,Atalanta,32,2016-17
9,19,Kessie F.,Cen,C,7.0,,,,,,,,7.0,Atalanta,32,2016-17
10,29,Petagna A.,Att,A,6.0,,,,,,,,6.0,Atalanta,32,2016-17
11,7,Dalessandro M.,Tre,T,6.0,,,,,,,,6.0,Atalanta,32,2016-17
12,52,Cabezas B.,Tre,T,6.0,,,,,,,,6.0,Atalanta,32,2016-17
13,43,Paloschi A.,Att,A,,,,,,,,,,Atalanta,32,2016-17
0,83,Mirante A.,Por,P,5.5,,,,,,,,5.5,Bologna,32,2016-17
1,35,Torosidis V.,Dif,D,6.0,,,,,,,,6.0,Bologna,32,2016-17
2,20,Maietta D.,Dif,D,6.0,,,,,,,,6.0,Bologna,32,2016-17
3,25,Masina A.,Dif,D,6.0,,,,,,1.0,,5.5,Bologna,32,2016-17
4,28,Gastaldello D.,Dif,D,6.0,,,,,,,,6.0,Bologna,32,2016-17
5,5,Pulgar E.,Cen,C,4.0,,,,,,,1.0,3.0,Bologna,32,2016-17
6,8,Taider S.,Cen,C,6.5,,,,,,,,6.5,Bologna,32,2016-17
7,31,Dzemaili B.,Cen,C,6.0,,,,,,,,6.0,Bologna,32,2016-17
8,9,Verdi S.,Tre,T,6.0,,,,,,1.0,,5.5,Bologna,32,2016-17
9,14,Di Francesco F.,Tre,T,5.0,,,,,,,,5.0,Bologna,32,2016-17
10,0,Petkovic B.,Att,A,6.0,,,,,,,,6.0,Bologna,32,2016-17
11,4,Krafth E.,Dif,D,,,,,,,,,,Bologna,32,2016-17
12,11,Krejci L.,Tre,T,,,,,,,,,,Bologna,32,2016-17
13,19,Sadiq U.,Att,A,5.5,,,,,,,,5.5,Bologna,32,2016-17
0,1,Rafael A.,Por,P,6.5,,,,,,,,6.5,Cagliari,32,2016-17
1,35,Salamon B.,Dif,D,6.5,,,,,,,,6.5,Cagliari,32,2016-17
2,29,Murru N.,Dif,D,5.5,,,,,,,,5.5,Cagliari,32,2016-17
3,2,Alves B.,Dif,D,7.0,,,,,,,,7.0,Cagliari,32,2016-17
4,3,Isla M.,Dif,D,6.0,,,,,,,,6.0,Cagliari,32,2016-17
5,21,Ionita A.,Cen,C,6.0,,,,,,1.0,,5.5,Cagliari,32,2016-17
6,27,Deiola A.,Cen,C,6.0,,,,,,1.0,,5.5,Cagliari,32,2016-17
7,77,Tachtsidis P.,Cen,C,6.5,,,,,,,,6.5,Cagliari,32,2016-17
8,10,Joao Pedro,Tre,T,8.0,2.0,,,,,,,14.0,Cagliari,32,2016-17
9,22,Borriello M.,Att,A,7.0,1.0,,,,,,,10.0,Cagliari,32,2016-17
10,25,Sau M.,Att,A,7.5,1.0,,,,,,,10.5,Cagliari,32,2016-17
11,13,Colombo R.,Por,P,6.0,,,,,,,,6.0,Cagliari,32,2016-17
12,18,Barella N.,Cen,C,6.0,,,,,,,,6.0,Cagliari,32,2016-17
13,17,Farias D.,Tre,T,6.0,,,,,,,,6.0,Cagliari,32,2016-17
0,90,Seculin A.,Por,P,5.0,-4.0,,,,,,,1.0,Chievo,32,2016-17
1,29,Cacciatore F.,Dif,D,5.0,,,,,,,,5.0,Chievo,32,2016-17
2,12,Cesar B.,Dif,D,4.0,,,,,,1.0,,3.5,Chievo,32,2016-17
3,3,Dainelli D.,Dif,D,5.0,,,,,,,,5.0,Chievo,32,2016-17
